fdcId,description,carbohydrate_g
2685571,"Squash, winter, acorn, raw",10.5
2685570,"Squash, winter, butternut, raw",10.5
2346409,"Strawberries, raw",7.96
746784,"Sugar",99.6
2346404,"Sweet potatoes, orange flesh, without skin, raw",17.3
2727582,"Tomatillos, dehusked, raw",
2003596,"Tomato juice, with added ingredients, from concentrate, shelf stable",4.32
2685580,"Tomato, paste, canned, without salt added",20.2
2685582,"Tomato, puree, canned",8.04
1999634,"Tomato",3.84
2098889,"ice",0.0
173471,"vanilla extract",12.6
2504707,"cooking spray",0.0
2685579,"Tomato, sauce, canned, with salt added",6.33
333281,"Tomatoes, canned, red, ripe, diced",3.32
2685581,"Tomatoes, crushed, canned",7.14
321360,"Tomatoes, grape, raw",5.51
2685578,"Tomatoes, whole, canned, solids and liquids, with salt added",4.29
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",0.0
2514747,"Turkey, ground, 93% lean/ 7% fat, raw",0.0
2710821,"Wild rice, dry, raw",75.7
330137,"Yogurt, Greek, plain, nonfat",3.64
2259794,"Yogurt, Greek, plain, whole milk",4.75
330415,"Yogurt, Greek, strawberry, nonfat",12.2
2647437,"Yogurt, plain, nonfat",8.08
2259793,"Yogurt, plain, whole milk",5.57
1999634,"Tomato, roma",3.84
1906800,"pizza sauce",7.9
2125928,"pizza crust",46.2
2116421,'pepperoni',3.57
946384,'splenda',200
169750,'cornmeal',76.9
2009297,'agave nectar',76.2
2710705,'tequila',0
174818,'vodka',0
174817,'rum',0
2055160,'vegetable oil',0
174277,'soy sauce',4.93
1798231,'white vinegar',0
172240,"red wine vinegar",0.27
170151,"sesame seeds",25.7
169736,"pasta",74.7
167575,'ice cream',23.6
2346400,'green bean',7.4
